english,korean,example
negotiate,협상하다,The two countries agreed to negotiate a peace deal.
obscure,모호한/잘 알려지지 않은,The meaning of the poem was obscure to most readers.
persevere,인내하다,You must persevere through difficulty to achieve success.
rational,이성적인,Try to make a rational decision based on the facts.
scrutinize,면밀히 조사하다,The inspector scrutinized every detail of the building.
thorough,철저한,She did a thorough job of cleaning the entire house.
unanimous,만장일치의,The committee reached a unanimous decision.
vivid,생생한,She has a vivid imagination that shines in her writing.
wary,조심하는,Be wary of strangers who offer unexpected gifts.
zealous,열정적인,He was zealous in his pursuit of excellence.
